PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 2152 C,10674,40,-11,-31
PANTONE 2153 C,10675,34,-12,-29
PANTONE 2154 C,10676,29,-1,-40
PANTONE 2155 C,10677,73,-6,-14
PANTONE 2156 C,10678,67,-6,-18
PANTONE 2157 C,10679,60,-6,-20
PANTONE 2158 C,10680,52,-6,-24
PANTONE 2159 C,10681,48,-7,-25
PANTONE 216 C,10682,29,41,0
PANTONE 2160 C,10683,43,-6,-27
PANTONE 2161 C,10684,36,-7,-28
PANTONE 2162 C,10685,68,-1,-8
PANTONE 2163 C,10686,63,-5,-13
PANTONE 2164 C,10687,60,-5,-14
PANTONE 2165 C,10688,53,-6,-15
PANTONE 2166 C,10689,47,-6,-18
PANTONE 2167 C,10690,45,-6,-18
PANTONE 2168 C,10691,29,-10,-16
PANTONE 2169 C,10692,69,-10,-23
PANTONE 217 C,10693,81,19,-8
PANTONE 2170 C,10694,61,-11,-29
PANTONE 2171 C,10695,63,-12,-41
PANTONE 2172 C,10696,50,-3,-53
PANTONE 2173 C,10697,52,-8,-51
PANTONE 2174 C,10698,48,-2,-54
PANTONE 2175 C,10699,44,2,-56
PANTONE 2176 C,10700,73,-5,-8
PANTONE 2177 C,10701,64,-10,-11
PANTONE 2178 C,10702,57,-11,-12
PANTONE 2179 C,10703,49,-12,-14
PANTONE 218 C,10704,63,52,-14
PANTONE 2180 C,10705,43,-13,-15
PANTONE 2181 C,10706,36,-14,-14
PANTONE 2182 C,10707,29,-13,-16
PANTONE 2183 C,10708,56,-22,-32
PANTONE 2184 C,10709,52,-8,-51
PANTONE 2185 C,10710,46,-16,-34
PANTONE 2186 C,10711,30,0,-41
PANTONE 2187 C,10712,28,-4,-34
PANTONE 2188 C,10713,26,-7,-29
PANTONE 2189 C,10714,19,-9,-19
PANTONE 219 C,10715,49,72,-7
PANTONE 2190 C,10716,70,-19,-33
PANTONE 2191 C,10717,62,-20,-43
PANTONE 2192 C,10718,56,-12,-48
PANTONE 2193 C,10719,56,-12,-48
PANTONE 2194 C,10720,53,-9,-51
PANTONE 2195 C,10721,48,-3,-54
PANTONE 2196 C,10722,42,-5,-46
PANTONE 2197 C,10723,79,-26,-20
PANTONE 2198 C,10724,75,-31,-24
PANTONE 2199 C,10725,69,-32,-29
PANTONE 220 C,10726,36,60,4
PANTONE 2200 C,10727,63,-30,-26
PANTONE 2201 C,10728,65,-28,-32
PANTONE 2202 C,10729,63,-21,-40
PANTONE 2203 C,10730,52,-21,-30
PANTONE 2204 C,10731,80,-10,-9
PANTONE 2205 C,10732,70,-12,-14
PANTONE 2206 C,10733,63,-11,-15
PANTONE 2207 C,10734,61,-14,-18
PANTONE 2208 C,10735,54,-13,-20
PANTONE 2209 C,10736,53,-15,-20
PANTONE 221 C,10737,31,54,3
PANTONE 2210 C,10738,31,-11,-27
PANTONE 2211 C,10739,61,-14,-11
PANTONE 2212 C,10740,52,-16,-13
PANTONE 2213 C,10741,44,-19,-12
PANTONE 2214 C,10742,43,-19,-13
PANTONE 2215 C,10743,34,-12,-13
PANTONE 2216 C,10744,31,-10,-11
PANTONE 2217 C,10745,22,-17,-9
PANTONE 2218 C,10746,68,-18,-14
PANTONE 2219 C,10747,63,-21,-16
PANTONE 222 C,10748,25,37,-5
PANTONE 2220 C,10749,58,-22,-17
PANTONE 2221 C,10750,53,-24,-19
PANTONE 2222 C,10751,50,-24,-20
PANTONE 2223 C,10752,45,-23,-21
PANTONE 2224 C,10753,41,-21,-21
PANTONE 2225 C,10754,80,-27,-16
PANTONE 2226 C,10755,75,-35,-19
PANTONE 2227 C,10756,71,-28,-16
PANTONE 2228 C,10757,62,-31,-24
PANTONE 2229 C,10758,59,-29,-24
PANTONE 223 C,10759,73,39,-15
PANTONE 2230 C,10760,53,-27,-21
PANTONE 2231 C,10761,47,-24,-21
PANTONE 2232 C,10762,68,-21,-9
PANTONE 2233 C,10763,64,-24,-12
PANTONE 2234 C,10764,61,-25,-12
PANTONE 2235 C,10765,56,-29,-14
PANTONE 2236 C,10766,55,-27,-16
PANTONE 2237 C,10767,50,-29,-14
PANTONE 2238 C,10768,40,-23,-15
PANTONE 2239 C,10769,75,-50,0
PANTONE 224 C,10770,64,55,-18
PANTONE 2240 C,10771,70,-49,4
PANTONE 2241 C,10772,62,-27,0
PANTONE 2242 C,10773,60,-47,13
PANTONE 2243 C,10774,55,-41,4
PANTONE 2244 C,10775,48,-33,1
PANTONE 2245 C,10776,49,-42,17
PANTONE 2246 C,10777,82,-20,7
PANTONE 2247 C,10778,72,-31,12
PANTONE 2248 C,10779,69,-30,13
PANTONE 2249 C,10780,64,-33,13
PANTONE 225 C,10781,51,75,-15
PANTONE 2250 C,10782,64,-52,20
PANTONE 2251 C,10783,62,-51,21
PANTONE 2252 C,10784,60,-54,36
PANTONE 2253 C,10785,89,-20,11
PANTONE 2254 C,10786,84,-24,16
PANTONE 2255 C,10787,78,-34,22
PANTONE 2256 C,10788,71,-47,31
PANTONE 2257 C,10789,62,-55,36
PANTONE 2258 C,10790,48,-48,41
PANTONE 2259 C,10791,41,-42,33
PANTONE 226 C,10792,45,71,0
PANTONE 2260 C,10793,80,-14,13
PANTONE 2261 C,10794,72,-17,16
PANTONE 2262 C,10795,67,-17,14
PANTONE 2263 C,10796,59,-19,17
PANTONE 2264 C,10797,58,-24,23
PANTONE 2265 C,10798,49,-20,20
PANTONE 2266 C,10799,33,-21,23
PANTONE 2267 C,10800,83,-34,28
PANTONE 2268 C,10801,79,-45,36
PANTONE 2269 C,10802,75,-39,39
PANTONE 227 C,10803,37,62,-4
PANTONE 2270 C,10804,71,-60,48
PANTONE 2271 C,10805,66,-61,53
PANTONE 2272 C,10806,55,-54,51
PANTONE 2273 C,10807,42,-38,33
PANTONE 2274 C,10808,86,-11,19
PANTONE 2275 C,10809,85,-18,32
PANTONE 2276 C,10810,65,-22,42
PANTONE 2277 C,10811,56,-36,51
PANTONE 2278 C,10812,49,-29,43
PANTONE 2279 C,10813,49,-23,40
PANTONE 228 C,10814,31,52,-9
PANTONE 2280 C,10815,41,-21,36
PANTONE 2281 C,10816,90,-15,35
PANTONE 2282 C,10817,88,-22,36
PANTONE 2283 C,10818,84,-35,55
PANTONE 2284 C,10819,82,-23,39
PANTONE 2285 C,10820,80,-40,60
PANTONE 2286 C,10821,74,-45,71
PANTONE 2287 C,10822,71,-52,68
PANTONE 2288 C,10823,87,-21,48
PANTONE 2289 C,10824,84,-18,44
PANTONE 229 C,10825,25,34,-6
PANTONE 2290 C,10826,82,-34,75
PANTONE 2291 C,10827,80,-33,76
PANTONE 2292 C,10828,75,-35,71
PANTONE 2293 C,10829,73,-36,71
PANTONE 2294 C,10830,64,-33,64
PANTONE 2295 C,10831,91,-15,46
PANTONE 2296 C,10832,89,-20,60
PANTONE 2297 C,10833,84,-27,79
PANTONE 2298 C,10834,83,-28,59
PANTONE 2299 C,10835,79,-32,67
PANTONE 230 C,10836,77,35,-13
PANTONE 2300 C,10837,75,-23,59
PANTONE 2301 C,10838,67,-24,63
PANTONE 2302 C,10839,73,-13,41
PANTONE 2303 C,10840,70,-18,44
PANTONE 2304 C,10841,68,-15,46
PANTONE 2305 C,10842,66,-16,66
PANTONE 2306 C,10843,56,-15,50
PANTONE 2307 C,10844,45,-11,45
PANTONE 2308 C,10845,36,-2,32
PANTONE 2309 C,10846,84,6,16
PANTONE 231 C,10847,67,54,-20
PANTONE 2310 C,10848,79,6,15
PANTONE 2311 C,10849,71,10,22
PANTONE 2312 C,10850,66,7,17
PANTONE 2313 C,10851,65,14,30
PANTONE 2314 C,10852,54,17,35
PANTONE 2315 C,10853,40,28,44
PANTONE 2316 C,10854,66,9,21
PANTONE 2317 C,10855,60,14,29
PANTONE 2318 C,10856,53,15,31
PANTONE 2319 C,10857,44,16,33
PANTONE 232 C,10858,56,71,-20
PANTONE 2320 C,10859,35,15,28
PANTONE 2321 C,10860,37,10,19
PANTONE 2322 C,10861,25,9,15
PANTONE 2323 C,10862,72,-2,13
PANTONE 2324 C,10863,68,2,18
PANTONE 2325 C,10864,61,2,17
PANTONE 2326 C,10865,53,2,18
PANTONE 2327 C,10866,51,-1,19
PANTONE 2328 C,10867,45,3,19
PANTONE 2329 C,10868,38,3,19
PANTONE 233 C,10869,44,70,-12
PANTONE 2330 C,10870,82,0,2
PANTONE 2331 C,10871,69,2,1
PANTONE 2332 C,10872,57,0,2
PANTONE 2333 C,10873,47,1,2
PANTONE 2334 C,10874,43,2,2
PANTONE 2335 C,10875,35,5,7
PANTONE 2336 C,10876,32,1,2
PANTONE 2337 C,10877,83,19,12
PANTONE 2338 C,10878,73,21,12
PANTONE 2339 C,10879,71,34,16
PANTONE 234 C,10880,36,61,-11
PANTONE 2340 C,10881,58,38,13
PANTONE 2341 C,10882,54,29,11
PANTONE 2342 C,10883,50,37,12
PANTONE 2343 C,10884,47,35,6
PANTONE 2344 C,10885,66,43,29
PANTONE 2345 C,10886,65,55,31
PANTONE 2346 C,10887,62,64,27
PANTONE 2347 C,10888,48,73,63
PANTONE 2348 C,10889,56,56,35
PANTONE 2349 C,10890,47,57,58
PANTONE 235 C,10891,29,51,-10
PANTONE 2350 C,10892,39,55,42
PANTONE 2351 C,10893,60,32,-19
PANTONE 2352 C,10894,54,39,-21
PANTONE 2353 C,10895,51,53,-25
PANTONE 2354 C,10896,44,35,-22
PANTONE 2355 C,10897,31,56,-31
PANTONE 2356 C,10898,25,49,-25
PANTONE 2357 C,10899,22,38,-10
PANTONE 2358 C,10900,68,4,-5
PANTONE 2359 C,10901,50,7,-9
PANTONE 236 C,10902,77,34,-16
PANTONE 2360 C,10903,52,3,-12
PANTONE 2361 C,10904,48,4,-16
PANTONE 2362 C,10905,46,4,-14
PANTONE 2363 C,10906,41,5,-13
PANTONE 2364 C,10907,40,7,-9
PANTONE 2365 C,10908,81,23,-13
PANTONE 2366 C,10909,49,19,-52
PANTONE 2367 C,10910,37,24,-55
PANTONE 2368 C,10911,37,29,-63
PANTONE 2369 C,10912,33,29,-65
PANTONE 237 C,10913,69,46,-21
PANTONE 2370 C,10914,24,30,-59
PANTONE 2371 C,10915,18,44,-65
PANTONE 2372 C,10916,18,27,-51
PANTONE 2373 C,10917,54,-2,-18
PANTONE 2374 C,10918,40,-1,-21
PANTONE 2375 C,10919,65,50,-26
PANTONE 2376 C,10920,38,-1,-15
PANTONE 2377 C,10921,34,-8,-20
PANTONE 2378 C,10922,31,-1,-20
PANTONE 2379 C,10923,29,-1,-13
PANTONE 238 C,10924,60,60,-26
PANTONE 2380 C,10925,21,0,-16
PANTONE 2381 C,10926,60,-2,-44
PANTONE 2382 C,10927,54,-10,-50
PANTONE 2383 C,10928,47,-9,-39
PANTONE 2384 C,10929,39,-6,-42
PANTONE 2385 C,10930,52,68,-31
PANTONE 2386 C,10931,44,5,-55
PANTONE 2387 C,10932,42,8,-61
PANTONE 2388 C,10933,35,11,-60
PANTONE 2389 C,10934,62,-17,-29
PANTONE 239 C,10935,54,68,-27
PANTONE 2390 C,10936,48,-16,-34
PANTONE 2391 C,10937,49,-20,-30
PANTONE 2392 C,10938,40,-17,-24
PANTONE 2393 C,10939,56,-18,-40
PANTONE 2394 C,10940,54,-14,-44
PANTONE 2395 C,10941,45,73,-31
PANTONE 2396 C,10942,58,-28,-24
PANTONE 2397 C,10943,67,-38,-16
PANTONE 2398 C,10944,68,-41,-10
PANTONE 2399 C,10945,63,-41,-5
PANTONE 240 C,10946,47,66,-25
PANTONE 2400 C,10947,64,-45,2
PANTONE 2401 C,10948,62,-36,-3
PANTONE 2402 C,10949,58,-41,2
PANTONE 2403 C,10950,51,-36,-2
PANTONE 2404 C,10951,73,-12,12
PANTONE 2405 C,10952,40,67,-28
PANTONE 2406 C,10953,62,-14,8
PANTONE 2407 C,10954,56,-17,9
PANTONE 2408 C,10955,47,-25,15
PANTONE 2409 C,10956,40,-14,12
PANTONE 241 C,10957,40,63,-22
PANTONE 2410 C,10958,36,-14,13
PANTONE 2411 C,10959,25,-21,15
PANTONE 2412 C,10960,77,-51,19
PANTONE 2413 C,10961,67,-44,9
PANTONE 2414 C,10962,68,-53,19
PANTONE 2415 C,10963,36,62,-25
PANTONE 2416 C,10964,64,-51,19
PANTONE 2417 C,10965,57,-43,16
PANTONE 2418 C,10966,49,-46,29
PANTONE 2419 C,10967,46,-38,10
PANTONE 242 C,10968,31,44,-14
PANTONE 2420 C,10969,70,-60,38
PANTONE 2421 C,10970,65,-58,63
PANTONE 2422 C,10971,60,-57,49
PANTONE 2423 C,10972,61,-59,56
PANTONE 2424 C,10973,57,-52,57
PANTONE 2425 C,10974,29,53,-21
PANTONE 2426 C,10975,51,-51,48
PANTONE 2427 C,10976,35,-37,29
PANTONE 2428 C,10977,65,28,59
PANTONE 2429 C,10978,52,38,53
PANTONE 243 C,10979,80,23,-15
PANTONE 2430 C,10980,71,16,29
PANTONE 2431 C,10981,68,25,44
PANTONE 2432 C,10982,66,28,40
PANTONE 2433 C,10983,62,35,40
PANTONE 2434 C,10984,63,40,33
PANTONE 2435 C,10985,56,31,26
PANTONE 2436 C,10986,48,39,32
PANTONE 2437 C,10987,82,16,23
PANTONE 2438 C,10988,72,22,25
PANTONE 2439 C,10989,62,22,20
PANTONE 244 C,10990,73,36,-22
PANTONE 2440 C,10991,64,12,9
PANTONE 2441 C,10992,52,21,18
PANTONE 2442 C,10993,48,25,17
PANTONE 2443 C,10994,36,35,33
PANTONE 2444 C,10995,73,20,13
PANTONE 2445 C,10996,66,33,11
PANTONE 2446 C,10997,64,29,8
PANTONE 2447 C,10998,54,27,6
PANTONE 2448 C,10999,57,47,32
PANTONE 2449 C,11000,19,17,5
PANTONE 245 C,11001,66,45,-28
PANTONE 2450 C,11002,53,61,-4
PANTONE 2451 C,11003,46,50,-1
PANTONE 2452 C,11004,47,58,1
PANTONE 2453 C,11005,67,19,-19
PANTONE 2454 C,11006,49,-17,-28
PANTONE 2455 C,11007,74,-17,0
PANTONE 2456 C,11008,58,-36,0
PANTONE 2457 C,11009,67,-14,5
PANTONE 2458 C,11010,59,-21,6
PANTONE 2459 C,11011,65,-33,5
PANTONE 246 C,11012,48,70,-37
PANTONE 2460 C,11013,67,-24,-5
PANTONE 2461 C,11014,56,-32,-8
PANTONE 2462 C,11015,55,-20,-1
PANTONE 2463 C,11016,47,-11,-1
PANTONE 2464 C,11017,71,-35,32
PANTONE 2465 C,11018,41,-36,27
PANTONE 2466 C,11019,31,-16,-3
PANTONE 2467 C,11020,63,10,25
PANTONE 2468 C,11021,49,16,24
PANTONE 2469 C,11022,43,21,26
PANTONE 247 C,11023,44,68,-35
PANTONE 2470 C,11024,55,7,20
PANTONE 2471 C,11025,59,9,13
PANTONE 2472 C,11026,31,11,19
PANTONE 2473 C,11027,76,4,-1
PANTONE 2474 C,11028,67,4,6
PANTONE 2475 C,11029,59,9,7
PANTONE 2476 C,11030,48,8,4
PANTONE 2477 C,11031,40,10,5
PANTONE 2478 C,11032,25,10,0
PANTONE 2479 C,11033,23,4,5
PANTONE 248 C,11034,39,61,-32
PANTONE 249 C,11035,33,44,-20
PANTONE 250 C,11036,81,22,-15
PANTONE 251 C,11037,72,33,-25
PANTONE 252 C,11038,58,52,-38
PANTONE 253 C,11039,42,65,-43
PANTONE 254 C,11040,37,58,-38
PANTONE 255 C,11041,29,41,-25
PANTONE 256 C,11042,80,12,-13
PANTONE 2562 C,11043,75,24,-24
PANTONE 2563 C,11044,72,21,-21
PANTONE 2567 C,11045,71,20,-25
PANTONE 257 C,11046,71,20,-19
PANTONE 2572 C,11047,66,33,-32
PANTONE 2573 C,11048,63,30,-30
PANTONE 2577 C,11049,59,29,-35
PANTONE 258 C,11050,42,39,-33
PANTONE 2582 C,11051,50,51,-47
PANTONE 2583 C,11052,50,38,-35
PANTONE 2587 C,11053,41,40,-47
PANTONE 259 C,11054,28,43,-34
PANTONE 2592 C,11055,40,60,-52
PANTONE 2593 C,11056,37,47,-42
PANTONE 2597 C,11057,24,49,-53
PANTONE 260 C,11058,27,35,-25
PANTONE 2602 C,11059,34,56,-48
PANTONE 2603 C,11060,30,44,-38
PANTONE 2607 C,11061,20,44,-48
PANTONE 261 C,11062,26,30,-22
PANTONE 2612 C,11063,31,45,-36
PANTONE 2613 C,11064,27,41,-35
PANTONE 2617 C,11065,17,38,-41
PANTONE 262 C,11066,23,23,-16
PANTONE 2622 C,11067,29,29,-21
PANTONE 2623 C,11068,25,36,-29
PANTONE 2627 C,11069,15,30,-32
PANTONE 263 C,11070,82,10,-15
PANTONE 2635 C,11071,76,12,-21
PANTONE 264 C,11072,72,18,-27
PANTONE 2645 C,11073,66,18,-33
PANTONE 265 C,11074,51,34,-49
PANTONE 2655 C,11075,56,27,-44
PANTONE 266 C,11076,38,44,-60
PANTONE 2665 C,11077,45,35,-54
PANTONE 267 C,11078,29,44,-56
PANTONE 268 C,11079,28,33,-43
PANTONE 2685 C,11080,14,40,-54
PANTONE 269 C,11081,26,26,-32
PANTONE 2695 C,11082,14,18,-26
PANTONE 270 C,11083,74,6,-22
PANTONE 2705 C,11084,70,10,-31
PANTONE 2706 C,11085,85,0,-12
PANTONE 2707 C,11086,85,-4,-14
PANTONE 2708 C,11087,81,-3,-18
PANTONE 271 C,11088,64,10,-32
PANTONE 2715 C,11089,58,17,-43
PANTONE 2716 C,11090,71,4,-29
PANTONE 2717 C,11091,79,-4,-24
PANTONE 2718 C,11092,56,3,-48
PANTONE 272 C,11093,51,15,-42
PANTONE 2725 C,11094,44,26,-56
PANTONE 2726 C,11095,42,18,-60
PANTONE 2727 C,11096,53,2,-58
PANTONE 2728 C,11097,33,19,-67
PANTONE 273 C,11098,13,26,-43
PANTONE 2735 C,11099,16,45,-66
PANTONE 2736 C,11100,24,38,-74
PANTONE 2738 C,11101,14,42,-71
PANTONE 274 C,11102,12,20,-36
PANTONE 2745 C,11103,12,39,-56
PANTONE 2746 C,11104,19,33,-64
PANTONE 2747 C,11105,14,23,-54
PANTONE 2748 C,11106,14,24,-55
PANTONE 275 C,11107,12,16,-30
PANTONE 2755 C,11108,12,30,-47
PANTONE 2756 C,11109,16,20,-48
PANTONE 2757 C,11110,14,14,-44
PANTONE 2758 C,11111,14,14,-44
PANTONE 276 C,11112,12,8,-16
PANTONE 2765 C,11113,11,16,-30
PANTONE 2766 C,11114,12,11,-33
PANTONE 2767 C,11115,16,1,-25
PANTONE 2768 C,11116,12,7,-31
PANTONE 277 C,11117,80,-7,-19
PANTONE 278 C,11118,73,-7,-30
PANTONE 279 C,11119,58,-6,-48
PANTONE 280 C,11120,15,15,-46
PANTONE 281 C,11121,14,11,-40
PANTONE 282 C,11122,11,3,-27
PANTONE 283 C,11123,76,-9,-26
PANTONE 284 C,11124,68,-10,-35
PANTONE 285 C,11125,47,-1,-56
PANTONE 286 C,11126,25,24,-65
PANTONE 287 C,11127,22,16,-54
PANTONE 288 C,11128,20,10,-45
PANTONE 289 C,11129,13,0,-22
PANTONE 290 C,11130,85,-9,-14
PANTONE 2905 C,11131,77,-14,-23
PANTONE 291 C,11132,79,-11,-21
PANTONE 2915 C,11133,70,-16,-33
PANTONE 292 C,11134,70,-13,-35
PANTONE 2925 C,11135,60,-17,-44
PANTONE 293 C,11136,29,19,-62
PANTONE 2935 C,11137,37,8,-58
PANTONE 294 C,11138,20,6,-41
PANTONE 2945 C,11139,32,3,-47
PANTONE 295 C,11140,16,2,-32
PANTONE 2955 C,11141,22,-2,-32
PANTONE 296 C,11142,9,-4,-15
PANTONE 2965 C,11143,13,-5,-20
PANTONE 297 C,11144,75,-20,-26
PANTONE 2975 C,11145,82,-17,-17
PANTONE 298 C,11146,69,-22,-35
PANTONE 2985 C,11147,74,-24,-28
PANTONE 299 C,11148,62,-20,-42
PANTONE 2995 C,11149,64,-23,-39
PANTONE 300 C,11150,39,4,-55
PANTONE 3005 C,11151,48,-5,-51
PANTONE 301 C,11152,31,-2,-40
PANTONE 3015 C,11153,39,-8,-39
PANTONE 302 C,11154,23,-7,-25
PANTONE 3025 C,11155,31,-11,-27
PANTONE 303 C,11156,15,-10,-14
PANTONE 3035 C,11157,24,-13,-18
PANTONE 304 C,11158,83,-19,-14
PANTONE 305 C,11159,76,-27,-26
PANTONE 306 C,11160,68,-28,-34
PANTONE 307 C,11161,43,-9,-40
PANTONE 308 C,11162,34,-12,-28
PANTONE 309 C,11163,22,-14,-14
PANTONE 310 C,11164,78,-29,-19
PANTONE 3105 C,11165,78,-30,-17
PANTONE 311 C,11166,72,-35,-26
PANTONE 3115 C,11167,71,-37,-22
PANTONE 312 C,11168,63,-28,-30
PANTONE 3125 C,11169,64,-32,-25
PANTONE 313 C,11170,56,-22,-32
PANTONE 3135 C,11171,54,-26,-24
PANTONE 314 C,11172,49,-20,-29
PANTONE 3145 C,11173,46,-24,-19
PANTONE 315 C,11174,40,-20,-21
PANTONE 3155 C,11175,38,-22,-16
PANTONE 316 C,11176,27,-18,-12
PANTONE 3165 C,11177,30,-20,-12
PANTONE 317 C,11178,87,-17,-6
PANTONE 318 C,11179,82,-26,-11
PANTONE 319 C,11180,75,-39,-16
PANTONE 320 C,11181,58,-33,-17
PANTONE 321 C,11182,53,-31,-15
PANTONE 322 C,11183,44,-28,-11
PANTONE 323 C,11184,36,-24,-9
PANTONE 324 C,11185,83,-22,-5
PANTONE 3242 C,11186,81,-34,-8
PANTONE 3245 C,11187,83,-34,-3
PANTONE 3248 C,11188,76,-34,1
PANTONE 325 C,11189,76,-32,-9
PANTONE 3252 C,11190,76,-44,-9
PANTONE 3255 C,11191,77,-46,-5
PANTONE 3258 C,11192,72,-39,-2
PANTONE 326 C,11193,65,-41,-8
PANTONE 3262 C,11194,70,-44,-6
PANTONE 3265 C,11195,72,-47,-2
PANTONE 3268 C,11196,62,-44,3
PANTONE 327 C,11197,50,-36,-1
PANTONE 3272 C,11198,60,-39,-6
PANTONE 3275 C,11199,65,-45,1
PANTONE 3278 C,11200,57,-44,9
PANTONE 328 C,11201,43,-31,-2
PANTONE 3282 C,11202,50,-35,-2
PANTONE 3285 C,11203,55,-39,1
PANTONE 3288 C,11204,48,-38,7
PANTONE 329 C,11205,39,-29,-3
PANTONE 3292 C,11206,34,-27,-2
PANTONE 3295 C,11207,44,-34,2
PANTONE 3298 C,11208,40,-33,6
PANTONE 330 C,11209,31,-25,-2
PANTONE 3302 C,11210,28,-23,-3
PANTONE 3305 C,11211,29,-25,1
PANTONE 3308 C,11212,26,-24,2
PANTONE 331 C,11213,87,-24,-1
PANTONE 332 C,11214,84,-31,0
PANTONE 333 C,11215,79,-47,0
PANTONE 334 C,11216,56,-43,8
PANTONE 335 C,11217,45,-36,6
PANTONE 336 C,11218,38,-32,5
PANTONE 337 C,11219,80,-28,5
PANTONE 3375 C,11220,83,-38,7
PANTONE 338 C,11221,76,-35,4
PANTONE 3385 C,11222,78,-48,9
PANTONE 339 C,11223,65,-49,10
PANTONE 3395 C,11224,70,-54,18
PANTONE 340 C,11225,55,-46,19
PANTONE 3405 C,11226,63,-53,26
PANTONE 341 C,11227,45,-39,12
PANTONE 3415 C,11228,44,-39,17
PANTONE 342 C,11229,38,-34,10
PANTONE 3425 C,11230,36,-33,11
PANTONE 343 C,11231,33,-27,7
PANTONE 3435 C,11232,26,-22,6
PANTONE 344 C,11233,83,-26,13
PANTONE 345 C,11234,80,-29,13
PANTONE 346 C,11235,75,-37,16
PANTONE 347 C,11236,56,-51,34
PANTONE 348 C,11237,48,-45,29
PANTONE 349 C,11238,39,-37,20
PANTONE 350 C,11239,32,-21,14
PANTONE 3500 C,11240,40,-39,25
PANTONE 3501 C,11241,63,-49,61
PANTONE 3506 C,11242,40,0,-48
PANTONE 3507 C,11243,79,-27,76
PANTONE 3508 C,11244,47,-20,35
PANTONE 351 C,11245,86,-29,14
PANTONE 3514 C,11246,79,14,80
PANTONE 3515 C,11247,23,49,-45
PANTONE 3516 C,11248,50,63,58
PANTONE 3517 C,11249,41,65,47
PANTONE 3519 C,11250,74,23,5
PANTONE 352 C,11251,84,-35,16
PANTONE 3520 C,11252,59,31,-30
PANTONE 3522 C,11253,50,-48,36
PANTONE 3523 C,11254,29,31,12
PANTONE 3524 C,11255,19,12,-25
PANTONE 3526 C,11256,60,-8,-8
PANTONE 3527 C,11257,52,63,-18
PANTONE 3529 C,11258,60,-55,52
PANTONE 353 C,11259,82,-40,19
PANTONE 3533 C,11260,80,-38,-1
PANTONE 3534 C,11261,65,-43,-3
PANTONE 3535 C,11262,18,45,-59
PANTONE 3536 C,11263,43,-42,28
PANTONE 3537 C,11264,26,-30,19
PANTONE 3538 C,11265,58,-17,-43
PANTONE 3539 C,11266,57,-45,46
PANTONE 354 C,11267,64,-58,44
PANTONE 3541 C,11268,55,-31,-16
PANTONE 3542 C,11269,17,36,-55
PANTONE 3543 C,11270,63,18,-32
PANTONE 3544 C,11271,78,13,13
PANTONE 3545 C,11272,70,-31,-31
PANTONE 3546 C,11273,44,68,48
PANTONE 3547 C,11274,64,13,64
PANTONE 355 C,11275,55,-51,38
PANTONE 3551 C,11276,62,-29,-28
PANTONE 3553 C,11277,44,-6,-46
PANTONE 3555 C,11278,24,36,-43
PANTONE 3556 C,11279,54,67,48
PANTONE 3557 C,11280,47,-29,-11
PANTONE 3558 C,11281,65,5,-30
PANTONE 3559 C,11282,45,37,-37
PANTONE 356 C,11283,45,-43,29
PANTONE 3560 C,11284,60,-40,-5
PANTONE 3561 C,11285,72,-43,69
PANTONE 3564 C,11286,61,49,69
PANTONE 3566 C,11287,24,26,-38
PANTONE 3568 C,11288,85,16,-4
PANTONE 357 C,11289,33,-26,15
PANTONE 3570 C,11290,81,-29,78
PANTONE 3572 C,11291,75,37,13
PANTONE 3574 C,11292,34,19,-30
PANTONE 3575 C,11293,54,26,-38
PANTONE 3577 C,11294,73,-9,-24
PANTONE 358 C,11295,83,-26,31
PANTONE 3581 C,11296,22,10,-38
PANTONE 3582 C,11297,61,42,-11
PANTONE 3583 C,11298,24,38,-48
PANTONE 3584 C,11299,28,10,-40
PANTONE 3588 C,11300,72,36,69
PANTONE 359 C,11301,81,-30,35
PANTONE 3590 C,11302,38,8,-44
PANTONE 3591 C,11303,18,20,-54
PANTONE 3593 C,11304,53,28,-32
PANTONE 3595 C,11305,82,21,-5
PANTONE 3596 C,11306,78,8,28
PANTONE 3597 C,11307,24,8,-40
PANTONE 3599 C,11308,79,2,33
PANTONE 360 C,11309,71,-43,50
PANTONE 361 C,11310,64,-51,54
PANTONE 362 C,11311,59,-40,47
PANTONE 363 C,11312,53,-36,43
PANTONE 364 C,11313,45,-27,36
PANTONE 365 C,11314,86,-22,39
PANTONE 366 C,11315,84,-26,44
PANTONE 367 C,11316,80,-31,52
PANTONE 368 C,11317,70,-40,63
PANTONE 369 C,11318,62,-38,60
PANTONE 370 C,11319,54,-28,50
PANTONE 371 C,11320,39,-14,33
PANTONE 372 C,11321,90,-20,42
PANTONE 373 C,11322,89,-22,47
PANTONE 374 C,11323,87,-25,54
PANTONE 375 C,11324,79,-40,76
PANTONE 376 C,11325,71,-36,69
PANTONE 377 C,11326,59,-25,60
PANTONE 378 C,11327,40,-12,36
PANTONE 379 C,11328,89,-14,59
PANTONE 380 C,11329,88,-17,72
PANTONE 381 C,11330,85,-21,81
PANTONE 382 C,11331,82,-22,79
PANTONE 383 C,11332,68,-15,68
PANTONE 384 C,11333,59,-10,61
PANTONE 385 C,11334,47,-5,42
PANTONE 386 C,11335,91,-13,60
PANTONE 387 C,11336,90,-17,78
PANTONE 388 C,11337,89,-18,81
PANTONE 389 C,11338,86,-21,82
PANTONE 390 C,11339,74,-16,73
PANTONE 391 C,11340,61,-8,62
PANTONE 392 C,11341,51,-6,54
