PANTONENAME,UNIQUECODE,RED,GREEN,BLUE
PANTONE 10251 C,10154,60,-2,-16
PANTONE 10252 C,10155,55,-1,-23
PANTONE 10253 C,10156,51,1,-28
PANTONE 10254 C,10157,46,2,-34
PANTONE 10255 C,10158,41,5,-40
PANTONE 10256 C,10159,60,-5,-16
PANTONE 10257 C,10160,56,-4,-22
PANTONE 10258 C,10161,52,-4,-28
PANTONE 10259 C,10162,48,-4,-32
PANTONE 10260 C,10163,44,-1,-39
PANTONE 10261 C,10164,39,1,-45
PANTONE 10262 C,10165,63,-5,-7
PANTONE 10263 C,10166,57,-6,-10
PANTONE 10264 C,10167,51,-7,-14
PANTONE 10265 C,10168,46,-8,-15
PANTONE 10266 C,10169,41,-8,-18
PANTONE 10267 C,10170,36,-10,-18
PANTONE 10268 C,10171,61,-10,-15
PANTONE 10269 C,10172,57,-12,-21
PANTONE 10270 C,10173,54,-12,-26
PANTONE 10271 C,10174,50,-14,-30
PANTONE 10272 C,10175,47,-14,-36
PANTONE 10273 C,10176,43,-9,-41
PANTONE 10274 C,10177,63,-13,-13
PANTONE 10275 C,10178,60,-16,-18
PANTONE 10276 C,10179,57,-19,-22
PANTONE 10277 C,10180,54,-23,-26
PANTONE 10278 C,10181,52,-22,-30
PANTONE 10279 C,10182,51,-18,-34
PANTONE 10280 C,10183,63,-12,-8
PANTONE 10281 C,10184,59,-15,-11
PANTONE 10282 C,10185,56,-19,-13
PANTONE 10283 C,10186,53,-22,-15
PANTONE 10284 C,10187,49,-26,-16
PANTONE 10285 C,10188,46,-25,-18
PANTONE 10286 C,10189,64,-15,-7
PANTONE 10287 C,10190,62,-19,-9
PANTONE 10288 C,10191,60,-25,-12
PANTONE 10289 C,10192,58,-30,-13
PANTONE 10290 C,10193,56,-33,-14
PANTONE 10291 C,10194,54,-32,-13
PANTONE 10292 C,10195,66,-16,-3
PANTONE 10293 C,10196,64,-22,-3
PANTONE 10294 C,10197,62,-27,-3
PANTONE 10295 C,10198,60,-34,-2
PANTONE 10296 C,10199,59,-41,-1
PANTONE 10297 C,10200,58,-41,1
PANTONE 10298 C,10201,64,-15,10
PANTONE 10299 C,10202,61,-20,13
PANTONE 103 C,10203,70,0,71
PANTONE 10300 C,10204,59,-25,16
PANTONE 10301 C,10205,57,-31,20
PANTONE 10302 C,10206,54,-36,23
PANTONE 10303 C,10207,51,-42,25
PANTONE 10304 C,10208,65,-14,14
PANTONE 10305 C,10209,63,-19,20
PANTONE 10306 C,10210,61,-24,24
PANTONE 10307 C,10211,58,-28,27
PANTONE 10308 C,10212,56,-33,30
PANTONE 10309 C,10213,54,-39,35
PANTONE 10310 C,10214,65,-6,5
PANTONE 10311 C,10215,60,-9,8
PANTONE 10312 C,10216,57,-12,10
PANTONE 10313 C,10217,52,-13,12
PANTONE 10314 C,10218,48,-15,14
PANTONE 10315 C,10219,44,-16,14
PANTONE 10316 C,10220,67,-13,19
PANTONE 10317 C,10221,66,-18,27
PANTONE 10318 C,10222,64,-23,32
PANTONE 10319 C,10223,63,-27,38
PANTONE 10320 C,10224,63,-33,44
PANTONE 10321 C,10225,61,-38,49
PANTONE 10322 C,10226,69,-10,26
PANTONE 10323 C,10227,67,-13,35
PANTONE 10324 C,10228,67,-15,42
PANTONE 10325 C,10229,66,-18,49
PANTONE 10326 C,10230,65,-21,55
PANTONE 10327 C,10231,66,-25,62
PANTONE 10328 C,10232,64,-8,17
PANTONE 10329 C,10233,61,-11,22
PANTONE 10330 C,10234,57,-12,26
PANTONE 10331 C,10235,54,-13,28
PANTONE 10332 C,10236,51,-15,31
PANTONE 10333 C,10237,47,-16,33
PANTONE 10334 C,10238,63,-2,11
PANTONE 10335 C,10239,60,-3,15
PANTONE 10336 C,10240,56,-2,19
PANTONE 10337 C,10241,52,-2,21
PANTONE 10338 C,10242,49,-3,24
PANTONE 10339 C,10243,45,-3,27
PANTONE 10340 C,10244,62,1,13
PANTONE 10341 C,10245,60,1,18
PANTONE 10342 C,10246,56,1,23
PANTONE 10343 C,10247,52,2,25
PANTONE 10344 C,10248,49,2,29
PANTONE 10345 C,10249,45,2,31
PANTONE 10346 C,10250,63,3,15
PANTONE 10347 C,10251,59,4,20
PANTONE 10348 C,10252,56,6,23
PANTONE 10349 C,10253,53,6,28
PANTONE 10350 C,10254,50,7,30
PANTONE 10351 C,10255,47,7,33
PANTONE 10352 C,10256,66,2,9
PANTONE 10353 C,10257,62,4,17
PANTONE 10354 C,10258,59,6,23
PANTONE 10355 C,10259,56,8,27
PANTONE 10356 C,10260,53,8,31
PANTONE 10357 C,10261,49,10,33
PANTONE 10358 C,10262,61,5,14
PANTONE 10359 C,10263,58,5,19
PANTONE 10360 C,10264,54,8,22
PANTONE 10361 C,10265,50,8,25
PANTONE 10362 C,10266,45,9,27
PANTONE 10363 C,10267,41,10,29
PANTONE 10364 C,10268,64,4,11
PANTONE 10365 C,10269,59,8,18
PANTONE 10366 C,10270,55,11,23
PANTONE 10367 C,10271,51,13,26
PANTONE 10368 C,10272,47,16,29
PANTONE 10369 C,10273,43,18,31
PANTONE 10370 C,10274,64,2,5
PANTONE 10371 C,10275,58,3,10
PANTONE 10372 C,10276,54,5,12
PANTONE 10373 C,10277,48,7,14
PANTONE 10374 C,10278,43,8,14
PANTONE 10375 C,10279,39,8,16
PANTONE 10376 C,10280,58,3,5
PANTONE 10377 C,10281,53,4,6
PANTONE 10378 C,10282,48,6,9
PANTONE 10379 C,10283,44,7,9
PANTONE 10380 C,10284,40,6,11
PANTONE 10381 C,10285,34,7,11
PANTONE 10382 C,10286,60,2,-1
PANTONE 10383 C,10287,53,3,-1
PANTONE 10384 C,10288,47,4,-1
PANTONE 10385 C,10289,41,4,-1
PANTONE 10386 C,10290,35,3,0
PANTONE 10387 C,10291,29,4,0
PANTONE 10388 C,10292,60,-2,-3
PANTONE 10389 C,10293,53,-2,-4
PANTONE 10390 C,10294,47,-2,-4
PANTONE 10391 C,10295,41,-2,-4
PANTONE 10392 C,10296,35,-2,-4
PANTONE 10393 C,10297,30,-2,-4
PANTONE 10394 C,10298,52,0,1
PANTONE 10395 C,10299,46,0,2
PANTONE 10396 C,10300,39,1,2
PANTONE 10397 C,10301,33,1,2
PANTONE 10398 C,10302,27,1,2
PANTONE 10399 C,10303,22,0,1
PANTONE 104 C,10304,63,0,65
PANTONE 10401 C,10305,63,19,60
PANTONE 10402 C,10306,63,14,41
PANTONE 10403 C,10307,59,8,32
PANTONE 10404 C,10308,62,6,24
PANTONE 10405 C,10309,64,4,22
PANTONE 10406 C,10310,66,5,20
PANTONE 10407 C,10311,67,3,18
PANTONE 10408 C,10312,63,9,18
PANTONE 10409 C,10313,54,16,19
PANTONE 10410 C,10314,51,20,11
